job_id,photons,index,steps,phase_rms_error,lf_relative_l2,solve_s,standalone_setup_and_solve_s,output
p10/sample00,10,0,2300,0.2858302593231201,0.7380688786506653,109.29490224644542,115.0061333142221,data/metrics/wdao_comparison_20260914/fixed_results/p10/sample00
p10/sample01,10,1,2300,0.2773418724536896,0.7008677124977112,109.29302365332842,115.36670654080808,data/metrics/wdao_comparison_20260914/fixed_results/p10/sample01
p10/sample02,10,2,2300,0.3874460756778717,0.9066736102104187,109.26680121012032,115.21910457499325,data/metrics/wdao_comparison_20260914/fixed_results/p10/sample02
p10/sample03,10,3,2300,0.4141942858695984,0.7838393449783325,109.37277047149837,115.43994736857712,data/metrics/wdao_comparison_20260914/fixed_results/p10/sample03
p10/sample04,10,4,2300,0.22361363470554352,0.7068510055541992,109.35179636441171,115.79657561890781,data/metrics/wdao_comparison_20260914/fixed_results/p10/sample04
p10/sample05,10,5,2300,0.7055677175521851,0.7698007225990295,109.22897680848837,115.72958304174244,data/metrics/wdao_comparison_20260914/fixed_results/p10/sample05
p10/sample06,10,6,2300,0.31097716093063354,0.7693635821342468,109.40268397890031,115.96295867301524,data/metrics/wdao_comparison_20260914/fixed_results/p10/sample06
p10/sample07,10,7,2300,0.7812381386756897,1.0610902309417725,109.27812371961772,115.87388401292264,data/metrics/wdao_comparison_20260914/fixed_results/p10/sample07
p10/sample08,10,8,2300,0.24325205385684967,0.5933429002761841,108.96342376060784,114.91572712548077,data/metrics/wdao_comparison_20260914/fixed_results/p10/sample08
p10/sample09,10,9,2300,0.18966874480247498,0.819943904876709,108.9825918264687,114.69382289424539,data/metrics/wdao_comparison_20260914/fixed_results/p10/sample09
p30/sample00,30,0,2300,0.09278378635644913,0.2551562190055847,109.07393597438931,115.14111287146807,data/metrics/wdao_comparison_20260914/fixed_results/p30/sample00
p30/sample01,30,1,2300,0.10126452147960663,0.24251052737236023,108.94600953906775,115.01969242654741,data/metrics/wdao_comparison_20260914/fixed_results/p30/sample01
p30/sample02,30,2,2300,0.06384313851594925,0.3026839792728424,108.90417272597551,115.40477895922959,data/metrics/wdao_comparison_20260914/fixed_results/p30/sample02
p30/sample03,30,3,2300,0.10438038408756256,0.2663309574127197,109.06851085461676,115.62878554873168,data/metrics/wdao_comparison_20260914/fixed_results/p30/sample03
p30/sample04,30,4,2300,0.07790982723236084,0.25098225474357605,108.98125032708049,115.57701062038541,data/metrics/wdao_comparison_20260914/fixed_results/p30/sample04
p30/sample05,30,5,2300,0.07853660732507706,0.25198134779930115,109.02812628820539,115.47290554270148,data/metrics/wdao_comparison_20260914/fixed_results/p30/sample05
p30/sample06,30,6,2300,0.08106275647878647,0.26401615142822266,108.95165684632957,114.9039602112025,data/metrics/wdao_comparison_20260914/fixed_results/p30/sample06
p30/sample07,30,7,2300,0.09215261787176132,0.281257688999176,108.98219559155405,114.69342665933073,data/metrics/wdao_comparison_20260914/fixed_results/p30/sample07
p30/sample08,30,8,2300,0.07230378687381744,0.2069624960422516,108.9147431049496,114.98842599242926,data/metrics/wdao_comparison_20260914/fixed_results/p30/sample08
p30/sample09,30,9,2300,0.1033538430929184,0.29153987765312195,109.06918547302485,115.1363623701036,data/metrics/wdao_comparison_20260914/fixed_results/p30/sample09
p100/sample00,100,0,2300,0.09403371065855026,0.10846962779760361,108.97296856343746,115.41774781793356,data/metrics/wdao_comparison_20260914/fixed_results/p100/sample00
p100/sample01,100,1,2300,0.09008564800024033,0.11686677485704422,109.06899413466454,115.62926882877946,data/metrics/wdao_comparison_20260914/fixed_results/p100/sample01
p100/sample02,100,2,2300,0.07792019844055176,0.12103524059057236,108.90403646044433,115.4046426936984,data/metrics/wdao_comparison_20260914/fixed_results/p100/sample02
p100/sample03,100,3,2300,0.09856999665498734,0.11413641273975372,108.98350812122226,115.57926841452718,data/metrics/wdao_comparison_20260914/fixed_results/p100/sample03
p100/sample04,100,4,2300,0.06469689309597015,0.1033286452293396,108.95313908718526,114.9054424520582,data/metrics/wdao_comparison_20260914/fixed_results/p100/sample04
p100/sample05,100,5,2300,0.08469987660646439,0.10786444693803787,109.0963229238987,115.16349982097745,data/metrics/wdao_comparison_20260914/fixed_results/p100/sample05
p100/sample06,100,6,2300,0.12104897946119308,0.12284447997808456,108.91829060390592,114.99197349138558,data/metrics/wdao_comparison_20260914/fixed_results/p100/sample06
p100/sample07,100,7,2300,0.08087083697319031,0.11394792795181274,108.98766223154962,114.6988932993263,data/metrics/wdao_comparison_20260914/fixed_results/p100/sample07
p100/sample08,100,8,2300,0.06517720222473145,0.09431562572717667,108.92374518327415,115.42435141652822,data/metrics/wdao_comparison_20260914/fixed_results/p100/sample08
p100/sample09,100,9,2300,0.07308941334486008,0.11796468496322632,108.98699674382806,115.58275703713298,data/metrics/wdao_comparison_20260914/fixed_results/p100/sample09
p300/sample00,300,0,2300,0.07343858480453491,0.08079390227794647,108.97565888427198,115.42043813876808,data/metrics/wdao_comparison_20260914/fixed_results/p300/sample00
p300/sample01,300,1,2300,0.07750272005796432,0.07469769567251205,109.0779625326395,115.63823722675443,data/metrics/wdao_comparison_20260914/fixed_results/p300/sample01
p300/sample02,300,2,2300,0.06745223701000214,0.07412006705999374,108.94560206308961,114.89790542796254,data/metrics/wdao_comparison_20260914/fixed_results/p300/sample02
p300/sample03,300,3,2300,0.08236359804868698,0.08084592968225479,109.05141195096076,115.11858884803951,data/metrics/wdao_comparison_20260914/fixed_results/p300/sample03
p300/sample04,300,4,2300,0.054204054176807404,0.06569647043943405,108.99199417978525,114.70322524756193,data/metrics/wdao_comparison_20260914/fixed_results/p300/sample04
p300/sample05,300,5,2300,0.0780240148305893,0.08161159604787827,108.98965163901448,115.5854119323194,data/metrics/wdao_comparison_20260914/fixed_results/p300/sample05
p300/sample06,300,6,2300,0.12167628109455109,0.09968020021915436,108.90164719894528,115.40225343219936,data/metrics/wdao_comparison_20260914/fixed_results/p300/sample06
p300/sample07,300,7,2300,0.07837782055139542,0.0724102333188057,109.06811313889921,115.62838783301413,data/metrics/wdao_comparison_20260914/fixed_results/p300/sample07
p300/sample08,300,8,2300,0.09621481597423553,0.08394515514373779,108.91557924449444,114.9892621319741,data/metrics/wdao_comparison_20260914/fixed_results/p300/sample08
p300/sample09,300,9,2300,0.08084388077259064,0.08855391293764114,108.95916106365621,115.40394031815231,data/metrics/wdao_comparison_20260914/fixed_results/p300/sample09
p1000/sample00,1000,0,2300,0.08895126730203629,0.07627548277378082,108.95780192129314,114.91010528616607,data/metrics/wdao_comparison_20260914/fixed_results/p1000/sample00
p1000/sample01,1000,1,2300,0.09844531118869781,0.07371685653924942,108.90704961493611,115.40765584819019,data/metrics/wdao_comparison_20260914/fixed_results/p1000/sample01
p1000/sample02,1000,2,2300,0.12005828320980072,0.09235405921936035,109.04866569302976,115.11584259010851,data/metrics/wdao_comparison_20260914/fixed_results/p1000/sample02
