group,method,photons,index,candidates,accepted_box6,accepted_fraction_box6,source_localization
wdao_comparison,wdao,10,0,100,53,0.53,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p10_sample00.npz
wdao_comparison,wdao,10,1,100,55,0.55,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p10_sample01.npz
wdao_comparison,wdao,10,2,100,42,0.42,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p10_sample02.npz
wdao_comparison,wdao,10,3,100,48,0.48,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p10_sample03.npz
wdao_comparison,wdao,10,4,100,54,0.54,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p10_sample04.npz
wdao_comparison,wdao,10,5,100,54,0.54,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p10_sample05.npz
wdao_comparison,wdao,10,6,100,53,0.53,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p10_sample06.npz
wdao_comparison,wdao,10,7,100,19,0.19,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p10_sample07.npz
wdao_comparison,wdao,10,8,100,61,0.61,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p10_sample08.npz
wdao_comparison,wdao,10,9,100,50,0.5,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p10_sample09.npz
wdao_comparison,wdao,30,0,100,93,0.93,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p30_sample00.npz
wdao_comparison,wdao,30,1,100,94,0.94,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p30_sample01.npz
wdao_comparison,wdao,30,2,100,85,0.85,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p30_sample02.npz
wdao_comparison,wdao,30,3,100,86,0.86,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p30_sample03.npz
wdao_comparison,wdao,30,4,100,91,0.91,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p30_sample04.npz
wdao_comparison,wdao,30,5,100,92,0.92,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p30_sample05.npz
wdao_comparison,wdao,30,6,100,88,0.88,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p30_sample06.npz
wdao_comparison,wdao,30,7,100,88,0.88,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p30_sample07.npz
wdao_comparison,wdao,30,8,100,90,0.9,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p30_sample08.npz
wdao_comparison,wdao,30,9,100,84,0.84,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p30_sample09.npz
wdao_comparison,wdao,100,0,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p100_sample00.npz
wdao_comparison,wdao,100,1,100,98,0.98,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p100_sample01.npz
wdao_comparison,wdao,100,2,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p100_sample02.npz
wdao_comparison,wdao,100,3,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p100_sample03.npz
wdao_comparison,wdao,100,4,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p100_sample04.npz
wdao_comparison,wdao,100,5,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p100_sample05.npz
wdao_comparison,wdao,100,6,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p100_sample06.npz
wdao_comparison,wdao,100,7,100,99,0.99,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p100_sample07.npz
wdao_comparison,wdao,100,8,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p100_sample08.npz
wdao_comparison,wdao,100,9,100,99,0.99,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p100_sample09.npz
wdao_comparison,wdao,300,0,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p300_sample00.npz
wdao_comparison,wdao,300,1,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p300_sample01.npz
wdao_comparison,wdao,300,2,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p300_sample02.npz
wdao_comparison,wdao,300,3,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p300_sample03.npz
wdao_comparison,wdao,300,4,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p300_sample04.npz
wdao_comparison,wdao,300,5,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p300_sample05.npz
wdao_comparison,wdao,300,6,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p300_sample06.npz
wdao_comparison,wdao,300,7,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p300_sample07.npz
wdao_comparison,wdao,300,8,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p300_sample08.npz
wdao_comparison,wdao,300,9,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p300_sample09.npz
wdao_comparison,wdao,1000,0,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p1000_sample00.npz
wdao_comparison,wdao,1000,1,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p1000_sample01.npz
wdao_comparison,wdao,1000,2,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p1000_sample02.npz
wdao_comparison,wdao,1000,3,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p1000_sample03.npz
wdao_comparison,wdao,1000,4,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p1000_sample04.npz
wdao_comparison,wdao,1000,5,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p1000_sample05.npz
wdao_comparison,wdao,1000,6,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p1000_sample06.npz
wdao_comparison,wdao,1000,7,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p1000_sample07.npz
wdao_comparison,wdao,1000,8,100,96,0.96,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p1000_sample08.npz
wdao_comparison,wdao,1000,9,100,100,1.0,data/metrics/wdao_comparison_20260914/localization_counts_v1/matches/p1000_sample09.npz
wdao_comparison,joint,10,0,100,51,0.51,data/metrics/batch_points_poisson_gaussian_output/localization/p10_sample00.npz
wdao_comparison,joint,10,1,100,54,0.54,data/metrics/batch_points_poisson_gaussian_output/localization/p10_sample01.npz
wdao_comparison,joint,10,2,100,46,0.46,data/metrics/batch_points_poisson_gaussian_output/localization/p10_sample02.npz
wdao_comparison,joint,10,3,100,36,0.36,data/metrics/batch_points_poisson_gaussian_output/localization/p10_sample03.npz
wdao_comparison,joint,10,4,100,49,0.49,data/metrics/batch_points_poisson_gaussian_output/localization/p10_sample04.npz
wdao_comparison,joint,10,5,100,52,0.52,data/metrics/batch_points_poisson_gaussian_output/localization/p10_sample05.npz
wdao_comparison,joint,10,6,100,49,0.49,data/metrics/batch_points_poisson_gaussian_output/localization/p10_sample06.npz
wdao_comparison,joint,10,7,100,51,0.51,data/metrics/batch_points_poisson_gaussian_output/localization/p10_sample07.npz
wdao_comparison,joint,10,8,100,59,0.59,data/metrics/batch_points_poisson_gaussian_output/localization/p10_sample08.npz
wdao_comparison,joint,10,9,100,45,0.45,data/metrics/batch_points_poisson_gaussian_output/localization/p10_sample09.npz
wdao_comparison,joint,30,0,100,91,0.91,data/metrics/batch_points_poisson_gaussian_output/localization/p30_sample00.npz
wdao_comparison,joint,30,1,100,97,0.97,data/metrics/batch_points_poisson_gaussian_output/localization/p30_sample01.npz
wdao_comparison,joint,30,2,100,87,0.87,data/metrics/batch_points_poisson_gaussian_output/localization/p30_sample02.npz
wdao_comparison,joint,30,3,100,89,0.89,data/metrics/batch_points_poisson_gaussian_output/localization/p30_sample03.npz
wdao_comparison,joint,30,4,100,90,0.9,data/metrics/batch_points_poisson_gaussian_output/localization/p30_sample04.npz
wdao_comparison,joint,30,5,100,93,0.93,data/metrics/batch_points_poisson_gaussian_output/localization/p30_sample05.npz
wdao_comparison,joint,30,6,100,91,0.91,data/metrics/batch_points_poisson_gaussian_output/localization/p30_sample06.npz
wdao_comparison,joint,30,7,100,90,0.9,data/metrics/batch_points_poisson_gaussian_output/localization/p30_sample07.npz
wdao_comparison,joint,30,8,100,95,0.95,data/metrics/batch_points_poisson_gaussian_output/localization/p30_sample08.npz
wdao_comparison,joint,30,9,100,86,0.86,data/metrics/batch_points_poisson_gaussian_output/localization/p30_sample09.npz
wdao_comparison,joint,100,0,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p100_sample00.npz
wdao_comparison,joint,100,1,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p100_sample01.npz
wdao_comparison,joint,100,2,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p100_sample02.npz
wdao_comparison,joint,100,3,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p100_sample03.npz
wdao_comparison,joint,100,4,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p100_sample04.npz
wdao_comparison,joint,100,5,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p100_sample05.npz
wdao_comparison,joint,100,6,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p100_sample06.npz
wdao_comparison,joint,100,7,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p100_sample07.npz
wdao_comparison,joint,100,8,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p100_sample08.npz
wdao_comparison,joint,100,9,100,99,0.99,data/metrics/batch_points_poisson_gaussian_output/localization/p100_sample09.npz
wdao_comparison,joint,300,0,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p300_sample00.npz
wdao_comparison,joint,300,1,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p300_sample01.npz
wdao_comparison,joint,300,2,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p300_sample02.npz
wdao_comparison,joint,300,3,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p300_sample03.npz
wdao_comparison,joint,300,4,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p300_sample04.npz
wdao_comparison,joint,300,5,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p300_sample05.npz
wdao_comparison,joint,300,6,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p300_sample06.npz
wdao_comparison,joint,300,7,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p300_sample07.npz
wdao_comparison,joint,300,8,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p300_sample08.npz
wdao_comparison,joint,300,9,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p300_sample09.npz
wdao_comparison,joint,1000,0,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p1000_sample00.npz
wdao_comparison,joint,1000,1,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p1000_sample01.npz
wdao_comparison,joint,1000,2,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p1000_sample02.npz
wdao_comparison,joint,1000,3,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p1000_sample03.npz
wdao_comparison,joint,1000,4,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p1000_sample04.npz
wdao_comparison,joint,1000,5,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p1000_sample05.npz
wdao_comparison,joint,1000,6,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p1000_sample06.npz
wdao_comparison,joint,1000,7,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p1000_sample07.npz
wdao_comparison,joint,1000,8,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p1000_sample08.npz
wdao_comparison,joint,1000,9,100,100,1.0,data/metrics/batch_points_poisson_gaussian_output/localization/p1000_sample09.npz
