z,y,x
77,489,408
43,455,463
86,193,84
23,324,401
42,265,100
28,395,96
45,296,306
84,241,229
30,295,98
13,469,564
42,233,80
74,329,109
77,299,446
42,495,296
18,397,423
43,536,135
41,341,244
60,335,254
33,463,68
77,310,488
22,380,191
16,277,560
90,623,75
20,94,482
81,598,261
11,156,205
49,231,396
19,198,176
86,553,233
53,163,62
66,528,125
23,325,455
78,126,418
47,509,514
90,355,552
34,332,183
88,248,460
27,439,522
58,411,76
79,200,550
86,484,496
84,608,236
69,145,362
17,85,400
43,592,538
17,409,604
24,58,404
13,441,95
83,579,90
33,229,289
31,478,493
58,64,63
53,446,198
54,50,121
45,499,358
40,244,551
88,139,175
80,429,307
26,355,613
19,341,279
45,64,418
83,192,264
73,511,206
12,410,195
12,333,476
28,52,125
45,617,83
55,456,377
12,433,371
65,497,398
54,441,254
33,97,457
14,301,579
44,440,502
21,584,520
82,376,391
38,562,477
50,538,419
49,324,50
26,270,332
10,352,66
64,388,498
78,110,615
67,563,624
45,64,373
24,142,138
55,514,176
50,389,72
66,276,161
25,473,302
87,180,312
44,91,79
56,555,349
52,346,121
70,385,116
49,268,593
61,339,165
76,496,181
89,470,461
20,429,419
